X_SMHI;Y_SMHI;Name;Year;Month;Day;Depth m;Temp_ øC;pH ;Cond_ mS/m25øC;Ca meq/l;Mg meq/l;Na meq/l;K meq/l;Alk_/Acid meq/l;SO4_IC meq/l;Cl meq/l;NO2+NO3-N ug/l;Tot-N_ps ug/l;Tot-P ug/l;Abs__F 420nm/5cm;TOC mg/l;Si mg/l
663721;157970;LINDSJÖN;2005;11;28;1;3.2;6.78;5.9;0.48;0.118;0.115;0.014;0.268;0.057;0.072;64;634;22;0.683;31.5;4.89
663734;161589;TREHÖRNINGEN;2005;11;29;1;2.5;7.71;20.7;1.525;0.292;0.374;0.05;1.424;0.351;0.305;47;524;29;0.063;12.5;0.34
663800;157807;STENNÄSSJÖN;2005;11;28;1;2.4;7.28;16.6;1.087;0.28;0.362;0.057;1.03;0.205;0.369;89;546;32;0.167;14.9;0.96
663890;157214;MÖRTSJÖN;2005;11;28;1;2.3;7.02;6.43;0.379;0.129;0.138;0.017;0.285;0.1;0.142;115;501;11;0.163;12.1;0.66
663894;161926;LÖTSJÖN;2005;11;29;1;3.3;7.83;20.5;1.381;0.28;0.514;0.055;1.519;0.123;0.479;74;541;25;0.035;8;0.73
663920;162844;SÖDERSJÖN;2005;11;29;1;2.2;7.63;24.8;2.13;0.287;0.39;0.065;1.924;0.348;0.274;81;805;36;0.349;23.9;1.77
663926;157720;STRANDSJÖN;2005;11;28;1;1.8;7.52;16.6;1.098;0.279;0.369;0.051;1.021;0.195;0.386;128;708;33;0.201;15.7;1.3
663958;161511;FUNBOSJÖN;2005;11;29;1;1.6;7.88;39;2.752;0.528;0.833;0.164;2.562;0.708;0.796;35;962;51;0.213;17.7;3.17
663974;162291;NORRSJÖN;2005;11;7;1;7.7;7.7;29.8;2.374;0.451;0.462;0.085;2.048;0.664;0.39;71;980;43;0.216;18.3;1.61
664068;162805;FLADEN;2005;11;29;1;1.8;7.6;38.4;2.826;0.619;0.633;0.157;2.688;0.84;0.492;114;1045;34;0.181;20.8;0.55
664207;162215;LÅNGSJÖN;2005;11;29;1;2.6;7.6;28.4;2.213;0.417;0.508;0.089;1.944;0.584;0.395;226;1044;41;0.289;22.7;2.42
664355;157668;BREDSJÖN;2005;11;28;1;1.5;7.25;8.7;0.512;0.157;0.213;0.028;0.395;0.124;0.217;61;475;25;0.16;15.7;0.75
664416;161869;LÅNGSJÖN;2005;11;29;1;2;7.56;27.5;2.095;0.391;0.518;0.088;1.857;0.515;0.447;25;880;39;0.243;20.7;2.29
664474;163318;KÄRVEN;2005;11;29;1;1.1;7.77;38.6;3.016;0.56;0.679;0.1;2.743;0.772;0.568;48;995;21;0.215;21.2;1.13
664671;162521;NORRSJÖN;2005;11;29;1;2.7;7.82;48.1;4.097;0.591;0.639;0.094;3.789;1.15;0.416;14;776;16;0.174;18.9;2.07
664693;163935;HOSJÖN;2005;11;29;1;1;7.57;25;1.703;0.39;0.546;0.059;1.694;0.378;0.497;6;677;23;0.055;11.8;0.51
664842;162824;TESTEN;2005;11;29;1;0.9;7.83;47.1;3.692;0.686;0.798;0.104;3.432;0.994;0.726;34;912;17;0.118;16.7;2.13
665138;164175;NORRSJÖN;2005;11;29;1;2.1;7.47;9.43;0.71;0.136;0.166;0.023;0.628;0.119;0.139;18;410;29;0.131;13.9;1.09
