X_SMHI;Y_SMHI;Name;Year;Month;Day;Depth m;Temp_ øC;pH ;Cond_ mS/m25øC;Ca meq/l;Mg meq/l;Na meq/l;K meq/l;Alk_/Acid meq/l;SO4_IC meq/l;Cl meq/l;NO2+NO3-N ug/l;Tot-N_ps ug/l;Tot-P ug/l;Abs__F 420nm/5cm;TOC mg/l;Si mg/l
632525;134351;JANSBERGSSJÖN;2005;11;14;1;8.2;7;7.09;0.303;0.087;0.268;0.016;0.185;0.098;0.293;87;257;12;0.32;19.5;1.78
632712;132629;HÖGHULTA SJÖ;2005;11;14;1;8.1;7.31;8.5;0.563;0.081;0.188;0.015;0.493;0.075;0.201;104;328;24;0.238;19.5;0.83
632714;131362;GÄLLSJÖN;2005;11;10;1;9.3;5.45;6.2;0.084;0.096;0.319;0.012;0.002;0.12;0.361;186;219;8;0.061;14.5;0.92
632801;131864;ABBORRASJÖN;2005;11;10;1;8.5;5.03;4.77;0.047;0.06;0.243;0.012;-0.014;0.057;0.282;33;198;20;0.329;21.7;1.18
632830;135914;GRANSJÖN;2005;11;15;1;7.6;7.15;7.72;0.54;0.07;0.201;0.013;0.377;0.07;0.204;107;485;15;0.652;21.6;0.76
632913;132904;KROKSJÖN;2005;11;14;1;8;5.52;5.17;0.14;0.09;0.22;0.022;0.006;0.089;0.231;159;536;36;0.623;30.4;1.7
633055;129591;STRÖMMA DAMM;2005;11;10;1;8.6;7.15;10.1;0.317;0.22;0.366;0.034;0.311;0.179;0.369;404;654;18;0.093;16.9;1.18
633058;133330;LERHON;2005;11;14;1;7.9;4.67;4.7;0.046;0.056;0.205;0.015;-0.044;0.069;0.244;67;397;28;0.722;26.2;1.53
633104;130125;BYASJÖN;2005;11;10;1;9.7;7.07;9.15;0.275;0.189;0.344;0.027;0.261;0.179;0.347;182;205;25;0.078;16.6;0.98
633124;135974;HAGASJÖN;2005;11;15;1;7.7;6.91;7.25;0.478;0.069;0.192;0.019;0.27;0.075;0.231;110;551;14;0.689;23.2;0.67
633202;133164;KÄRRSJÖN;2005;11;14;1;7.8;5.73;5.36;0.141;0.085;0.243;0.019;0.02;0.075;0.261;118;466;25;0.601;28.9;1.25
633503;130204;VALASJÖN;2005;11;10;1;9.4;6.87;7.67;0.239;0.114;0.312;0.018;0.168;0.152;0.327;110;207;9;0.038;15.3;0.5
633555;130018;RÖRSJÖN;2005;11;10;1;9.7;6.24;6.93;0.111;0.112;0.355;0.01;0.032;0.148;0.397;39;172;8;0.053;14.4;0.64
633574;132961;RYASJÖN;2005;11;14;1;8;5.23;4.82;0.097;0.079;0.212;0.016;-0.008;0.078;0.238;75;373;26;0.435;25.7;1.56
633711;130617;STORA AGNSJÖ;2005;11;10;1;8.8;6.95;7.95;0.388;0.104;0.276;0.012;0.29;0.091;0.306;83;193;11;0.244;21.6;1.35
633993;131143;KYRKSJÖN;2005;11;10;1;8.4;6.82;8.41;0.404;0.114;0.265;0.013;0.37;0.111;0.275;85;175;11;0.099;16.9;1.46
634443;132136;STORA GULLSKIVAN;2005;11;10;1;8.5;6.99;7.45;0.461;0.069;0.201;0.019;0.363;0.071;0.223;69;224;18;0.29;24.1;1.17
634548;129093;BÖNARPESJÖ;2005;11;10;1;9.6;7.33;14.9;0.556;0.309;0.472;0.099;0.655;0.251;0.488;105;281;11;0.032;14.7;2.22
634675;130639;BÖTTEKÄRRSSJÖN;2005;11;10;1;8.8;6.73;7.69;0.296;0.087;0.3;0.018;0.193;0.115;0.352;66;193;10;0.09;16.6;1.39
634876;131277;TÖRESJÖ;2005;11;10;1;9;7.07;7.39;0.364;0.077;0.213;0.023;0.277;0.116;0.254;89;193;8;0.046;16.1;0.54
634882;130902;KAMPASJÖN;2005;11;10;1;8.8;5.76;5.01;0.163;0.067;0.202;0.021;0.024;0.076;0.233;112;441;19;0.313;25;1.12
634998;131451;YTTRE SJÖN;2005;11;10;1;8.6;6.54;5.64;0.245;0.064;0.198;0.024;0.113;0.079;0.245;157;338;13;0.235;23.2;0.94
635038;132125;BJÖRKHULTASJÖN;2005;11;10;1;8.4;6.84;7;0.415;0.077;0.207;0.02;0.289;0.067;0.232;77;432;16;0.366;26.5;1.25
635134;131336;SKABOSJÖN;2005;11;10;1;8.4;6.28;4.7;0.19;0.051;0.177;0.012;0.082;0.061;0.207;48;198;12;0.265;22.6;0.56
635245;130389;LILLASJÖ;2005;11;10;1;8.4;6.5;12.6;0.497;0.281;0.315;0.078;0.486;0.211;0.332;234;1684;45;0.274;21.7;2.8
635246;131447;ÄMTASJÖN;2005;11;10;1;8.9;6.68;4.91;0.23;0.051;0.172;0.013;0.128;0.061;0.201;68;205;12;0.199;21.2;0.52
635288;131153;PORSKÄRR;2005;11;10;1;8.3;4.75;4.7;0.072;0.05;0.201;0.015;-0.037;0.058;0.241;27;188;17;0.38;24.8;1.13
635436;130093;VALASJÖN;2005;11;10;1;10.2;7.12;9.47;0.336;0.192;0.309;0.033;0.341;0.199;0.307;185;205;12;0.022;15.2;0.11
635537;131347;FISKLÖSEN;2005;11;10;1;8.3;4.21;5.68;0.038;0.043;0.183;0.008;-0.12;0.043;0.211;24;225;19;0.516;32.7;0.82
635782;131197;FÄNGKALVEN;2005;11;10;1;8.6;7.05;8.38;0.461;0.089;0.239;0.03;0.374;0.084;0.269;228;381;18;0.215;22;1.17
635900;130291;FÄVREN;2005;11;10;1;10.1;7.11;7.96;0.319;0.115;0.278;0.029;0.242;0.138;0.301;219;388;15;0.051;17.6;0.51
635904;129411;ABBORRVATTNET;2005;11;10;1;8.8;6.53;7.35;0.28;0.076;0.301;0.013;0.131;0.094;0.37;101;202;8;0.168;20.1;0.97
635921;130911;LILLA SÄVSJÖ;2005;11;10;1;8.7;6.96;7.47;0.414;0.079;0.225;0.021;0.315;0.073;0.262;83;354;10;0.227;22.1;1.04
636911;129516;LÖVSJÖ;2005;11;10;1;9.2;6.55;5.43;0.125;0.075;0.251;0.02;0.059;0.103;0.291;35;286;9;0.11;16.6;0.22
637886;128777;LYGNERN;2005;11;9;1;10.5;6.98;8.87;0.289;0.101;0.381;0.027;0.177;0.131;0.453;582;722;7;0.088;20.9;0.7
637976;129135;RYATJÄRN;2005;11;9;1;9.4;7.08;9.2;0.412;0.096;0.337;0.016;0.307;0.102;0.44;34;344;9;0.069;21.6;0.21
638291;127418;LÅNGEVATTEN;2005;11;9;1;9.7;7.18;9.1;0.375;0.087;0.366;0.013;0.274;0.102;0.484;31;273;10;0.046;22.7;0.3
638346;128487;SKRÄPPEKÄRR;2005;11;9;1;9;4.48;7;0.071;0.084;0.324;0.017;-0.07;0.069;0.424;29;381;12;0.371;31.4;0.89
638665;129243;LILLA ÖRESJÖN;2005;11;9;1;9.2;5.32;5.92;0.079;0.078;0.306;0.019;0;0.091;0.403;112;361;9;0.089;20.1;0.26
638896;128711;GÄRDSJÖN;2005;11;9;1;9.1;6.81;8.07;0.353;0.076;0.315;0.021;0.242;0.076;0.389;133;374;13;0.214;26;0.76
634664;133327;RÖDASJÖN;2005;11;10;1;8.8;5.46;5.43;0.136;0.09;0.243;0.024;0.003;0.097;0.243;158;623;30;0.496;25.5;1.36
635360;132281;GRUNDASJÖN;2005;11;10;1;8.3;6.86;8.96;0.643;0.085;0.207;0.022;0.485;0.083;0.223;75;420;16;0.375;29.8;1.45
635371;133635;VIHULTA SJÖ;2005;11;10;1;8.4;6.66;5.88;0.337;0.088;0.189;0.015;0.21;0.043;0.188;121;743;18;0.718;26;2.2
635404;134226;SVARTASJÖN;2005;11;10;1;8.7;6.68;5.79;0.254;0.08;0.185;0.018;0.16;0.095;0.196;140;617;13;0.227;16.2;1.08
635597;129684;BROKSJÖ;2005;11;10;1;9.2;7.55;12.3;0.886;0.068;0.248;0.012;0.818;0.104;0.276;91;193;8;0.02;14.7;0.3
635860;132232;JÄLLSJÖN;2005;11;10;1;8.5;6.99;6.14;0.372;0.051;0.173;0.008;0.295;0.048;0.202;34;333;13;0.155;20.6;0.39
636196;133833;MOSJÖN;2005;11;10;1;8.3;4.92;4.22;0.095;0.063;0.179;0.011;-0.03;0.056;0.177;27;572;19;0.61;25.1;1.44
636265;132373;MJÖASJÖN;2005;11;10;1;8.5;7.1;6.4;0.348;0.047;0.208;0.01;0.228;0.079;0.233;100;301;6;0.108;20.3;0.69
636357;132014;STORA GÅSTJÄRN;2005;11;10;1;8.3;7.22;8.23;0.534;0.072;0.197;0.015;0.45;0.07;0.233;68;313;10;0.136;19.8;0.72
636420;133895;NORDSJÖN;2005;11;10;1;8.1;4.58;4.19;0.051;0.043;0.159;0.012;-0.054;0.046;0.179;17;349;21;0.502;22.1;0.97
636519;132390;KROKSJÖN;2005;11;10;1;8.4;7.08;6.71;0.412;0.06;0.192;0.012;0.308;0.057;0.215;34;319;12;0.278;22.8;1.08
636557;129868;STORA AGNSJÖN;2005;11;10;1;9.2;7.02;7.88;0.385;0.079;0.264;0.017;0.282;0.105;0.299;124;312;8;0.076;17.1;0.83
636596;133991;KÖLJESJÖN;2005;11;10;1;8.2;4.14;5.95;0.061;0.052;0.161;0.005;-0.18;0.043;0.152;30;529;18;0.878;36.9;1.17
636606;132488;SKÄRSJÖN;2005;11;10;1;8.5;6.87;5.73;0.268;0.049;0.193;0.013;0.194;0.091;0.214;24;287;8;0.065;16.8;0.2
636868;129896;GÄRDESSJÖN;2005;11;10;1;8.9;7.09;8.26;0.428;0.077;0.265;0.015;0.313;0.108;0.294;114;346;9;0.13;19.9;1.12
636869;130895;TOLKEN;2005;11;10;1;9.8;6.96;6.5;0.266;0.081;0.234;0.02;0.164;0.103;0.268;177;393;10;0.099;19.6;1.01
636912;134893;BRÖLÅNGEN;2005;11;10;1;8.4;6.99;11.8;0.521;0.127;0.389;0.1;0.552;0.09;0.408;209;771;70;0.24;13.6;1.28
636997;133114;KARKEN;2005;11;10;1;9.2;7.3;9.88;0.601;0.097;0.249;0.021;0.515;0.124;0.262;106;318;11;0.101;13.5;1.04
637089;136183;KVARSEBOSJÖN;2005;11;10;1;8.3;4.85;4.33;0.102;0.061;0.167;0.014;-0.037;0.072;0.181;48;820;18;0.538;24.1;1.59
637197;134703;VÄSTRA GRANSJÖN;2005;11;10;1;8.3;4.68;4.23;0.067;0.042;0.175;0.008;-0.034;0.062;0.208;17;349;12;0.241;16.7;1.2
637284;131957;SVÄNASJÖN;2005;11;10;1;8.9;7.29;6.85;0.427;0.057;0.169;0.012;0.344;0.076;0.186;30;309;9;0.051;16.5;0.32
637367;132352;HUNNASJÖ;2005;11;10;1;8.3;6.59;6.49;0.314;0.089;0.239;0.017;0.193;0.074;0.236;40;411;14;0.342;28.3;1.93
637410;133545;NORRSJÖN;2005;11;10;1;8.3;6.93;6.8;0.409;0.079;0.196;0.013;0.301;0.072;0.197;23;339;14;0.331;23.3;1.36
637523;131260;ÖSTRA ÖRESJÖN;2005;11;10;1;9.5;6.98;6.61;0.274;0.082;0.233;0.021;0.174;0.103;0.265;183;386;11;0.103;18.9;0.92
637689;132988;LILLASJÖN;2005;11;10;1;8.1;4.86;4.95;0.13;0.066;0.203;0.012;-0.044;0.062;0.208;45;527;23;0.666;38;1.41
637737;130471;RINGSJÖARNA (V);2005;11;10;1;8.5;4.8;4.9;0.07;0.054;0.229;0.01;-0.024;0.064;0.284;23;403;29;0.284;21.4;0.49
637933;132827;EKESJÖN;2005;11;10;1;8.4;5.27;4.32;0.101;0.058;0.199;0.008;-0.007;0.057;0.218;32;439;18;0.452;25.2;1.04
638006;129213;MÖRKATJÄRN;2005;11;9;1;9;5.45;6.43;0.124;0.099;0.293;0.042;0.009;0.1;0.388;260;574;21;0.205;27;0.88
638176;130695;BÅRREDSJÖN;2005;11;10;1;9;7.38;9.47;0.62;0.083;0.241;0.016;0.506;0.095;0.255;45;381;10;0.214;23.2;0.69
638177;134276;SIMMESJÖN;2005;11;10;1;8.6;7.18;11.3;0.688;0.167;0.271;0.037;0.495;0.205;0.28;246;667;34;0.348;18.9;2.58
638496;133184;APELNÄSSJÖN;2005;11;10;1;8.5;7.23;8.76;0.553;0.096;0.218;0.02;0.438;0.099;0.221;136;489;15;0.289;25.4;1.47
638886;134288;STORA KVISTDROPPEN;2005;11;10;1;8.9;7.12;5.56;0.259;0.073;0.182;0.013;0.224;0.091;0.187;9;198;13;0.038;9.9;1.26
638908;127974;SÖDRA BARNSJÖN;2005;11;9;1;9.5;7.56;12.7;0.824;0.087;0.312;0.022;0.801;0.074;0.39;24;362;10;0.054;23.8;0.15
638942;132993;LILLASJÖN;2005;11;10;1;8.6;7.19;8.23;0.488;0.084;0.203;0.016;0.409;0.107;0.224;28;335;10;0.069;18.9;0.48
638944;131936;KLEVSJÖN;2005;11;10;1;8;4.38;4.68;0.043;0.041;0.156;0.005;-0.079;0.051;0.169;29;423;12;0.362;26.9;0.73
638980;130921;STORA ANSEREDSSJÖN;2005;11;10;1;8.3;6.14;5.36;0.268;0.062;0.198;0.017;0.079;0.071;0.206;117;484;17;0.536;32.4;1.23
639194;130588;FUTTATJÄRN;2005;11;9;1;8.7;6.7;6.7;0.394;0.065;0.204;0.011;0.248;0.069;0.244;137;362;10;0.328;28.9;0.87
639286;128776;DAMMTJÄRN;2005;11;9;1;8.9;4.4;6.13;0.059;0.053;0.265;0.011;-0.07;0.074;0.349;33;338;9;0.191;26.8;0.69
639329;127074;OXSJÖN;2005;11;9;1;9.6;7.29;12;0.503;0.124;0.478;0.021;0.391;0.087;0.599;43;417;8;0.105;24.8;0.38
639438;130878;GRÖNEBOSJÖN;2005;11;9;1;8.7;7;8.27;0.524;0.064;0.234;0.011;0.375;0.065;0.289;56;365;10;0.352;30.5;0.93
639539;129743;ÖSTRA KÅSJÖN;2005;11;9;1;9.1;6.59;7.59;0.375;0.061;0.316;0.019;0.177;0.076;0.371;74;458;13;0.43;35;0.87
639683;134896;ÅSUNDEN;2005;11;10;1;8.3;7.89;18.5;1.384;0.156;0.334;0.044;1.165;0.308;0.339;112;435;20;0.079;13.2;0.6
639720;128813;FORSVATTEN;2005;11;9;1;9;7.2;11.2;0.409;0.133;0.33;0.163;0.385;0.25;0.354;127;732;10;0.108;24.7;0.52
639754;130824;STORA ÖRETJÄRN;2005;11;9;1;8.5;4.89;5.42;0.086;0.068;0.258;0.019;-0.023;0.079;0.308;65;389;13;0.315;20.6;1.22
639791;131788;ABBORRSJÖN;2005;11;9;1;8.5;6.95;7.25;0.509;0.061;0.171;0.012;0.377;0.052;0.204;47;394;13;0.393;23.5;0.53
639810;129226;DJUPETJÄRN;2005;11;9;1;8.6;4.32;5.57;0.048;0.047;0.211;0.008;-0.076;0.057;0.269;12;738;13;0.275;28.1;0.42
639849;127544;STENSJÖN;2005;11;9;1;9.7;7.17;11;0.361;0.119;0.496;0.034;0.275;0.13;0.582;233;399;12;0.068;22.4;0.43
639860;129501;TULLTJÄRN;2005;11;9;1;9;7.73;13.9;1.137;0.072;0.224;0.016;1.06;0.069;0.281;15;350;8;0.044;22.3;0.25
639902;128483;ABBORRTJÄRN;2005;11;9;1;9;5.38;5.12;0.071;0.056;0.288;0.006;0.001;0.061;0.373;43;855;8;0.06;22.2;0.19
640086;131710;VIAREDSSJÖN;2005;11;9;1;9.4;6.91;10.7;0.356;0.106;0.476;0.03;0.236;0.134;0.571;337;456;10;0.126;17.3;0.66
640292;129933;VÄSTRA NEDSJÖN;2005;11;9;1;9.2;7.08;7.32;0.315;0.084;0.251;0.019;0.212;0.126;0.296;241;356;7;0.057;23.2;0.43
640429;129919;KLÅDDETJÄRN;2005;11;9;1;8.6;6.62;7.16;0.366;0.075;0.249;0.022;0.237;0.066;0.316;28;356;13;0.346;33.7;1.05
640513;128844;LILLA STAMSJÖN;2005;11;9;1;8.8;6.81;6.64;0.331;0.061;0.237;0.012;0.168;0.072;0.311;67;390;9;0.26;31;0.59
640533;130086;BUASJÖN;2005;11;9;1;8.9;7.34;8.76;0.494;0.087;0.241;0.022;0.418;0.113;0.278;169;325;8;0.095;25.2;0.81
640559;134428;GULLESTORPSSJÖ;2005;11;10;1;8.1;6.87;9.62;0.577;0.112;0.232;0.032;0.42;0.133;0.267;332;733;22;0.219;17.8;2.22
640619;129618;STORA STURVEN;2005;11;9;1;9.3;7.35;8.08;0.468;0.065;0.219;0.011;0.388;0.101;0.259;35;366;6;0.029;4.1;0.12
640671;126655;SVARTE MOSSE;2005;11;9;1;9.5;7.04;26.9;0.815;0.196;1.292;0.073;0.482;0.077;1.937;62;559;23;0.131;24.8;0.56
640768;129380;LILLA HÄRSJÖN;2005;11;9;1;9.3;7.33;8.33;0.447;0.066;0.268;0.012;0.347;0.091;0.325;42;224;6;0.055;22.8;0.21
640809;129299;KOLLSJÖN;2005;11;9;1;8.8;7.24;11.2;0.418;0.075;0.516;0.014;0.318;0.105;0.607;47;226;6;0.06;22.1;0.46
640979;137287;STRÄNGSEREDSJÖN;2005;11;10;1;8.1;7.08;8.28;0.341;0.087;0.332;0.019;0.212;0.093;0.395;90;377;40;0.226;15.8;0.78
641068;131079;HOLMBOTJÄRN;2005;11;9;1;8.6;6.89;7.95;0.398;0.09;0.263;0.021;0.255;0.107;0.316;257;513;12;0.27;11.1;1.01
641110;128010;PLOGFOTEN;2005;11;9;1;8.7;7.06;11.1;0.571;0.087;0.374;0.015;0.462;0.093;0.497;22;294;9;0.1;25.4;0.74
641294;131179;TRANETJÄRN;2005;11;9;1;8.5;6.34;6.91;0.322;0.09;0.258;0.02;0.146;0.089;0.302;126;555;14;0.491;19.7;1.31
641340;134166;MELLSJÖN;2005;11;10;1;8.4;7.36;15;1.009;0.152;0.297;0.045;0.845;0.226;0.352;334;715;29;0.132;19.5;2.07
641508;133220;ÄRTINGEN;2005;11;10;1;9;7.02;7.45;0.276;0.1;0.285;0.018;0.178;0.142;0.327;40;206;8;0.041;14.4;0.47
641839;131320;ISASJÖ;2005;11;9;1;8.7;4.78;4.8;0.11;0.06;0.203;0.013;-0.044;0.05;0.238;31;406;13;0.527;18.9;0.89
641847;128296;RELLSJÖN;2005;11;9;1;8.8;6.8;8.05;0.342;0.083;0.304;0.023;0.239;0.075;0.384;129;358;10;0.158;7.4;0.72
641924;134708;GRUNDSJÖN;2005;11;10;1;8.1;7.29;8.12;0.52;0.097;0.179;0.016;0.479;0.082;0.178;55;438;18;0.094;18.6;2.07
641933;127992;TROLLSJÖN;2005;11;9;1;9.5;7.43;10;0.568;0.072;0.296;0.014;0.489;0.106;0.351;34;326;6;0.029;3.8;0.11
642028;128991;VITTENSJÖN;2005;11;9;1;8.9;4.65;5.16;0.065;0.052;0.239;0.014;-0.036;0.057;0.323;8;248;13;0.118;7.7;0.47
642045;130054;LILLA LÅNGEN;2005;11;9;1;10.4;7.21;10.6;0.396;0.152;0.396;0.044;0.3;0.193;0.446;609;1363;11;0.058;5.6;0.27
642067;129244;ALSJÖN;2005;11;9;1;9;6.85;9.38;0.4;0.097;0.362;0.031;0.299;0.091;0.463;42;361;17;0.219;9.5;0.47
642138;130063;MJÖRN;2005;11;9;1;10.3;7.26;10.7;0.409;0.154;0.4;0.045;0.305;0.186;0.436;614;664;12;0.06;5.4;0.26
642139;128492;GATESJÖN;2005;11;9;1;8.9;7.35;8.89;0.54;0.062;0.232;0.01;0.474;0.085;0.276;42;304;6;0.036;4;0.17
642182;128498;SIRSJÖN;2005;11;9;1;9.2;7.31;7.5;0.414;0.058;0.218;0.011;0.348;0.09;0.259;15;234;5;0.017;3.7;0.17
642304;131691;UDDABOSJÖN;2005;11;9;1;8.6;7.1;8.39;0.592;0.085;0.201;0.021;0.436;0.066;0.228;141;558;20;0.536;18.1;0.85
642430;131079;YXNASJÖN;2005;11;9;1;8.3;5.02;5.8;0.139;0.077;0.256;0.014;-0.019;0.094;0.332;54;537;18;0.44;15.6;1.33
642523;133368;LILLETJÄRN;2005;11;9;1;8.2;5.98;4.76;0.176;0.053;0.205;0.008;0.05;0.037;0.253;25;452;18;0.526;26.3;0.89
642646;132815;LILLESJÖN;2005;11;9;1;8.6;6.11;5.6;0.197;0.077;0.225;0.034;0.067;0.078;0.268;39;405;17;0.373;26.5;1.26
643255;134517;;2005;11;9;1;8.3;6.8;6.45;0.307;0.086;0.234;0.016;0.18;0.058;0.262;125;702;36;0.494;26.8;0.95
643313;127458;SÖRSJÖN;2005;11;9;1;8.8;7.04;10.1;0.542;0.084;0.342;0.017;0.412;0.084;0.445;37;377;8;0.111;6.8;0.66
643361;130371;GÄRSJÖN;2005;11;9;1;9;7.78;13.9;1.154;0.074;0.206;0.018;1.051;0.082;0.247;24;371;7;0.088;8.2;0.13
643413;129803;LÅNGEVATTEN;2005;11;9;1;8.8;7.07;6.86;0.409;0.056;0.195;0.008;0.279;0.083;0.245;115;327;6;0.179;9.1;0.5
643439;127630;MÖRTEVATTEN;2005;11;9;1;8.8;6.82;8.2;0.412;0.08;0.283;0.015;0.246;0.08;0.387;116;483;8;0.227;10.6;0.4
643484;129754;VALSJÖN;2005;11;9;1;9;7.23;7.72;0.453;0.075;0.225;0.013;0.335;0.084;0.267;185;389;6;0.155;8;0.66
643555;129199;STORA MULSJÖN;2005;11;9;1;9.1;6.52;5.69;0.165;0.076;0.251;0.013;0.091;0.076;0.311;52;375;8;0.088;7;0.45
643617;127715;STORA BJÖRKÄRR;2005;11;9;1;8.6;5.8;6.23;0.216;0.074;0.29;0.013;0.028;0.077;0.374;35;459;11;0.302;12.6;0.73
643638;127482;SVARTEVATTEN;2005;11;9;1;8.9;7.14;7.7;0.389;0.068;0.262;0.017;0.266;0.093;0.317;39;272;5;0.046;4.5;0.2
643758;127298;KROKVATTEN;2005;11;9;1;9;7.39;9.63;0.616;0.064;0.274;0.012;0.496;0.084;0.329;31;283;6;0.044;5;0.17
643776;127195;STORE GÅRVATTNET;2005;11;9;1;9.1;7.34;12.2;0.69;0.133;0.346;0.024;0.546;0.116;0.499;2;292;8;0.028;4;0.2
643887;139802;STORA ÖJASJÖN;2005;11;10;1;7.4;6.98;5.84;0.239;0.093;0.176;0.027;0.234;0.131;0.136;23;189;12;0.055;11.4;2.67
644024;127728;MÅKEVATTEN;2005;11;9;1;9;4.78;5.1;0.034;0.06;0.262;0.012;-0.021;0.073;0.321;50;225;5;0.024;2.2;0.19
644143;127517;DJUPEDALSSJÖN;2005;11;9;1;8.9;6.98;6.93;0.319;0.059;0.257;0.008;0.227;0.09;0.303;59;268;6;0.042;3.7;0.2
644145;139888;IBBESJÖN;2005;11;10;1;7.1;6.91;6.21;0.266;0.09;0.189;0.028;0.227;0.138;0.147;247;360;10;0.088;12.3;2.72
644168;127452;HÖGEVATTEN;2005;11;9;1;8.9;7.3;8.86;0.538;0.063;0.261;0.01;0.437;0.084;0.313;33;275;5;0.074;4.9;0.16
644200;127784;LAGSJÖN;2005;11;9;1;8.9;5.15;4.53;0.052;0.058;0.25;0.01;-0.004;0.058;0.307;24;321;6;0.044;3.9;0.22
644229;127455;ÖREVATTEN;2005;11;9;1;8.9;6.41;6.5;0.267;0.075;0.28;0.011;0.086;0.068;0.354;49;470;9;0.28;14.6;0.56
644424;127947;ARBOVATTEN;2005;11;9;1;8.5;5.44;5.91;0.195;0.074;0.265;0.015;0.008;0.068;0.329;111;477;13;0.531;18.9;1.01
644463;139986;STORA LUMMERSJÖN;2005;11;10;1;7.4;6.92;4.49;0.162;0.056;0.175;0.02;0.141;0.078;0.142;31;358;15;0.233;12.4;2.74
644511;138465;GRUNNEVADSSJÖN;2005;11;10;1;7.4;7.56;20.2;1.475;0.17;0.319;0.05;0.994;0.635;0.291;477;626;19;0.041;12.2;3.55
644547;127561;TALSVATTEN;2005;11;9;1;9.2;7.13;8.84;0.421;0.099;0.306;0.013;0.308;0.091;0.389;38;301;7;0.143;8.5;0.27
644551;128074;SMÅVATTNEN;2005;11;9;1;8.8;5.18;6.92;0.267;0.095;0.302;0.008;-0.018;0.093;0.347;135;537;16;0.727;29.6;1.15
644580;132681;MOGESJÖN;2005;11;9;1;8.4;5.94;4.97;0.116;0.072;0.226;0.014;0.026;0.073;0.263;33;470;15;0.269;24.3;0.4
645220;127054;KÄDERÖDVATTEN;2005;11;9;1;9.3;6.42;8.29;0.16;0.138;0.402;0.036;0.097;0.134;0.457;43;348;12;0.116;6.2;0.47
645282;124292;LERKILEN;2005;11;9;0.5;10.3;7.74;2150;7.82;27.21;64;4.068;1.533;21.907;243.908;128;486;53;0.073;6.7;0.84
645289;128665;FRÄCKSJÖN;2005;11;9;1;9.2;6.42;6.34;0.186;0.095;0.282;0.023;0.085;0.089;0.334;69;258;12;0.161;8.6;0.83
645438;130031;VANDERYDSVATTNET;2005;11;9;1;9.3;7;7.83;0.266;0.137;0.322;0.034;0.193;0.118;0.344;56;344;33;0.185;8.7;0.25
645608;128027;KROKSVATTNET;2005;11;9;1;8.6;4.86;5.54;0.082;0.071;0.278;0.016;-0.023;0.073;0.33;43;258;8;0.219;9.3;0.91
645794;134947;HALLASJÖN;2005;11;9;1;8.2;5.74;3.87;0.111;0.062;0.172;0.015;0.016;0.028;0.173;33;680;100;1.141;35.3;1.47
646059;127765;HJORTESÖLAN;2005;11;9;1;8.5;6.62;5.4;0.216;0.051;0.225;0.018;0.145;0.041;0.275;15;313;22;0.166;9.9;0.49
646075;125124;RÖDSVATTEN;2005;11;9;1;9.7;6.93;14.3;0.401;0.25;0.605;0.069;0.394;0.16;0.729;326;723;73;0.185;8.7;1.19
646122;127615;LILLA HOLMEVATTNET;2005;11;9;1;8.7;6.44;5.7;0.229;0.057;0.246;0.011;0.105;0.064;0.291;38;281;15;0.214;9.6;0.41
646258;136211;MÅRBYSJÖN;2005;11;10;0.5;7.9;7.85;43.2;4.045;0.234;0.361;0.129;4.041;0.238;0.533;8;332;23;0.084;17.5;3.43
646293;126302;GRANVATTNET;2005;11;9;1;9.4;6.55;9.98;0.148;0.184;0.563;0.025;0.093;0.124;0.586;18;287;18;0.115;6.3;0.21
646401;128469;STENHUSVATTNET;2005;11;9;1;9;5.64;3.94;0.071;0.051;0.202;0.006;0.006;0.061;0.251;9;206;7;0.056;3.5;0.15
646458;127943;LILLA GALTEN;2005;11;9;1;8.9;6.73;6.77;0.238;0.118;0.237;0.027;0.205;0.123;0.261;19;284;12;0.085;5.4;0.17
646499;127828;BUVATTNET;2005;11;9;1;8.8;7.07;7.77;0.375;0.095;0.263;0.02;0.279;0.106;0.296;169;337;9;0.097;6;0.48
646727;136543;TRESJÖ;2005;11;10;1;7.8;5.58;4.01;0.266;0.035;0.134;0.006;0;0.025;0.144;115;658;32;0.838;40.8;0.91
646918;136677;HORNBORGASJÖN;2005;11;10;0.5;6.7;7.9;39.6;3.58;0.264;0.381;0.105;2.804;0.951;0.36;577;1169;19;0.127;21.4;1.25
647050;130644;ALSJÖN;2005;11;9;1;9;5.44;5.46;0.128;0.098;0.245;0.008;0;0.079;0.323;36;348;13;0.334;11.4;0.99
647125;138612;LÖVSJÖN;2005;11;10;1;7;7.49;22.4;1.974;0.152;0.258;0.04;2.072;0.073;0.208;15;681;13;0.074;16.1;2.67
647546;128638;GUNDLEBOSJÖN;2005;11;9;1;8.7;6.95;12.6;0.393;0.233;0.54;0.065;0.387;0.122;0.592;365;648;47;0.243;10.3;0.66
647591;128354;KYRKESJÖN;2005;11;9;1;9.3;6.87;9.32;0.33;0.162;0.367;0.051;0.25;0.139;0.382;501;674;49;0.268;9.9;0.77
647620;137198;ÖKULLASJÖN;2005;11;10;1;8.2;7.89;46.4;4.327;0.189;0.432;0.072;3.23;1.275;0.515;15;559;25;0.051;15.9;1.39
647697;127861;STORA KÖPERÖDSSJÖN;2005;11;9;1;9.2;7.02;9.22;0.31;0.148;0.386;0.033;0.31;0.098;0.415;63;262;18;0.169;7.2;0.3
